===========================
  Segment 2: type=tube, RMSE=0.01396
  Segment 3: type=complex, RMSE=0.01809
  Segment 4: type=plane, RMSE=0.01652
  Segment 5: type=complex, RMSE=0.02400
  Segment 6: type=complex, RMSE=0.02462
  Segment 7: type=tube, RMSE=0.02090
  Segment 9: type=complex, RMSE=0.01683
File valve_0039_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01576
  Segment 1: type=complex, RMSE=0.02048
  Segment 2: type=tube, RMSE=0.01440
  Segment 3: type=tube, RMSE=0.01433
  Segment 4: type=complex, RMSE=0.01885
  Segment 5: type=complex, RMSE=0.02168
  Segment 6: type=complex, RMSE=0.02567
  Segment 7: type=tube, RMSE=0.01771
  Segment 8: type=plane, RMSE=0.01185
  Segment 9: type=complex, RMSE=0.01493
File valve_0040_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.02007
  Segment 1: type=complex, RMSE=0.02354
  Segment 2: type=complex, RMSE=0.02313
  Segment 3: type=plane, RMSE=0.01448
  Segment 4: type=complex, RMSE=0.02402
  Segment 5: type=tube, RMSE=0.01791
  Segment 6: type=complex, RMSE=0.02892
  Segment 7: type=tube, RMSE=0.01688
  Segment 9: type=complex, RMSE=0.01868
File valve_0041_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01846
  Segment 1: type=complex, RMSE=0.01805
  Segment 2: type=tube, RMSE=0.01274
  Segment 3: type=complex, RMSE=0.01744
  Segment 4: type=complex, RMSE=0.02131
  Segment 5: type=complex, RMSE=0.02090
  Segment 6: type=complex, RMSE=0.02470
  Segment 7: type=tube, RMSE=0.02314
  Segment 9: type=complex, RMSE=0.01722
File valve_0042_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01845
  Segment 1: type=complex, RMSE=0.01953
  Segment 2: type=complex, RMSE=0.02444
  Segment 3: type=tube, RMSE=0.01270
  Segment 4: type=complex, RMSE=0.02078
  Segment 5: type=complex, RMSE=0.01753
  Segment 6: type=complex, RMSE=0.02643
  Segment 7: type=tube, RMSE=0.01258
  Segment 9: type=complex, RMSE=0.01523
File valve_0043_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01756
  Segment 1: type=complex, RMSE=0.02081
  Segment 2: type=tube, RMSE=0.01339
  Segment 3: type=tube, RMSE=0.01252
  Segment 4: type=complex, RMSE=0.01994
  Segment 5: type=complex, RMSE=0.02099
  Segment 6: type=complex, RMSE=0.02461
  Segment 7: type=tube, RMSE=0.01714
  Segment 8: type=plane, RMSE=0.01142
  Segment 9: type=complex, RMSE=0.01539
File valve_0044_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01749
  Segment 1: type=complex, RMSE=0.02040
  Segment 2: type=complex, RMSE=0.02110
  Segment 3: type=plane, RMSE=0.01781
  Segment 4: type=plane, RMSE=0.01629
  Segment 5: type=plane, RMSE=0.01477
  Segment 6: type=complex, RMSE=0.02452
  Segment 7: type=tube, RMSE=0.02318
  Segment 9: type=complex, RMSE=0.01552
File valve_0045_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01548
  Segment 1: type=complex, RMSE=0.01986
  Segment 2: type=complex, RMSE=0.01947
  Segment 3: type=complex, RMSE=0.01437
  Segment 4: type=plane, RMSE=0.01494
  Segment 5: type=complex, RMSE=0.01914
  Segment 6: type=complex, RMSE=0.02480
  Segment 7: type=tube, RMSE=0.01355
  Segment 9: type=complex, RMSE=0.01623
File valve_0046_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01551
  Segment 1: type=complex, RMSE=0.01650
  Segment 2: type=tube, RMSE=0.01275
  Segment 3: type=complex, RMSE=0.01443
  Segment 4: type=plane, RMSE=0.01647
  Segment 5: type=complex, RMSE=0.01749
  Segment 6: type=complex, RMSE=0.02255
  Segment 7: type=tube, RMSE=0.01461
  Segment 8: type=plane, RMSE=0.01251
  Segment 9: type=complex, RMSE=0.01556
File valve_0047_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01515
  Segment 1: type=complex, RMSE=0.01713
  Segment 2: type=tube, RMSE=0.01284
  Segment 3: type=tube, RMSE=0.01225
  Segment 4: type=complex, RMSE=0.02375
  Segment 5: type=tube, RMSE=0.01907
  Segment 6: type=complex, RMSE=0.02258
  Segment 7: type=tube, RMSE=0.01339
  Segment 8: type=plane, RMSE=0.01110
  Segment 9: type=complex, RMSE=0.01420
File valve_0048_lidar_classes.ply:
  Segment 0: type=plane, RMSE=0.02282
  Segment 1: type=complex, RMSE=0.02025
  Segment 2: type=plane, RMSE=0.02455
  Segment 3: type=tube, RMSE=0.01424
  Segment 5: type=complex, RMSE=0.02140
  Segment 6: type=complex, RMSE=0.02690
  Segment 7: type=tube, RMSE=0.01132
  Segment 9: type=sphere, RMSE=0.01559
File valve_0049_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01642
  Segment 1: type=complex, RMSE=0.02184
  Segment 2: type=complex, RMSE=0.01949
  Segment 3: type=plane, RMSE=0.02027
  Segment 4: type=complex, RMSE=0.02187
  Segment 5: type=complex, RMSE=0.02395
  Segment 6: type=complex, RMSE=0.02493
  Segment 7: type=tube, RMSE=0.02674
  Segment 9: type=complex, RMSE=0.01507
File valve_0050_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01680
  Segment 1: type=complex, RMSE=0.02034
  Segment 2: type=tube, RMSE=0.01405
  Segment 3: type=tube, RMSE=0.01394
  Segment 4: type=complex, RMSE=0.01901
  Segment 5: type=complex, RMSE=0.02259
  Segment 6: type=complex, RMSE=0.02646
  Segment 7: type=tube, RMSE=0.01415
  Segment 8: type=plane, RMSE=0.01302
  Segment 9: type=complex, RMSE=0.01492
File valve_0051_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01552
  Segment 1: type=complex, RMSE=0.01956
  Segment 2: type=complex, RMSE=0.02405
  Segment 3: type=complex, RMSE=0.01958
  Segment 5: type=complex, RMSE=0.02023
  Segment 6: type=complex, RMSE=0.02616
  Segment 7: type=tube, RMSE=0.01287
  Segment 8: type=plane, RMSE=0.01025
  Segment 9: type=complex, RMSE=0.01502
File valve_0052_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.02024
  Segment 1: type=complex, RMSE=0.02597
  Segment 2: type=complex, RMSE=0.02427
  Segment 3: type=plane, RMSE=0.01456
  Segment 5: type=tube, RMSE=0.01862
  Segment 6: type=complex, RMSE=0.02974
  Segment 7: type=tube, RMSE=0.01988
  Segment 9: type=complex, RMSE=0.01789
File valve_0053_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01970
  Segment 1: type=complex, RMSE=0.02094
  Segment 2: type=complex, RMSE=0.02372
  Segment 3: type=plane, RMSE=0.01709
  Segment 4: type=complex, RMSE=0.02198
  Segment 5: type=tube, RMSE=0.02375
  Segment 6: type=complex, RMSE=0.02814
  Segment 7: type=tube, RMSE=0.01820
  Segment 9: type=complex, RMSE=0.01772
File valve_0054_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01625
  Segment 1: type=complex, RMSE=0.01712
  Segment 2: type=complex, RMSE=0.02125
  Segment 3: type=complex, RMSE=0.01521
  Segment 4: type=complex, RMSE=0.02468
  Segment 5: type=complex, RMSE=0.01758
  Segment 6: type=complex, RMSE=0.02587
  Segment 7: type=tube, RMSE=0.01310
  Segment 9: type=complex, RMSE=0.01998
File valve_0055_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01778
  Segment 1: type=complex, RMSE=0.02027
  Segment 2: type=tube, RMSE=0.01622
  Segment 3: type=tube, RMSE=0.01336
  Segment 4: type=complex, RMSE=0.01871
  Segment 5: type=complex, RMSE=0.02068
  Segment 6: type=complex, RMSE=0.02717
  Segment 7: type=tube, RMSE=0.02012
  Segment 8: type=plane, RMSE=0.01247
  Segment 9: type=complex, RMSE=0.01520
File valve_0056_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01893
  Segment 1: type=complex, RMSE=0.01987
  Segment 2: type=tube, RMSE=0.01512
  Segment 3: type=complex, RMSE=0.01810
  Segment 4: type=complex, RMSE=0.01916
  Segment 5: type=complex, RMSE=0.02081
  Segment 6: type=complex, RMSE=0.02596
  Segment 7: type=tube, RMSE=0.02463
  Segment 9: type=complex, RMSE=0.01750
File valve_0057_lidar_classes.ply:
  Segment 0: type=plane, RMSE=0.02595
  Segment 1: type=complex, RMSE=0.02147
  Segment 2: type=tube, RMSE=0.01407
  Segment 3: type=tube, RMSE=0.01457
  Segment 4: type=complex, RMSE=0.02235
  Segment 5: type=complex, RMSE=0.01938
  Segment 6: type=complex, RMSE=0.02884
  Segment 7: type=tube, RMSE=0.01132
  Segment 9: type=sphere, RMSE=0.01550
File valve_0058_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01568
  Segment 1: type=complex, RMSE=0.01739
  Segment 2: type=tube, RMSE=0.01305
  Segment 3: type=complex, RMSE=0.01775
  Segment 4: type=plane, RMSE=0.01360
  Segment 5: type=complex, RMSE=0.01920
  Segment 6: type=complex, RMSE=0.02369
  Segment 7: type=tube, RMSE=0.02533
  Segment 9: type=complex, RMSE=0.01516
File valve_0059_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01816
  Segment 1: type=complex, RMSE=0.02118
  Segment 2: type=complex, RMSE=0.02148
  Segment 3: type=complex, RMSE=0.01681
  Segment 4: type=plane, RMSE=0.02311
  Segment 5: type=plane, RMSE=0.01922
  Segment 6: type=complex, RMSE=0.02540
  Segment 7: type=tube, RMSE=0.02001
  Segment 9: type=complex, RMSE=0.01751
File valve_0060_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01590
  Segment 1: type=complex, RMSE=0.02168
  Segment 2: type=complex, RMSE=0.02068
  Segment 3: type=complex, RMSE=0.01807
  Segment 4: type=complex, RMSE=0.01618
  Segment 5: type=complex, RMSE=0.02109
  Segment 6: type=complex, RMSE=0.02354
  Segment 7: type=tube, RMSE=0.02697
  Segment 9: type=complex, RMSE=0.01490
File valve_0061_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01578
  Segment 1: type=complex, RMSE=0.01888
  Segment 2: type=tube, RMSE=0.01320
  Segment 3: type=complex, RMSE=0.01549
  Segment 4: type=plane, RMSE=0.01672
  Segment 5: type=complex, RMSE=0.01715
  Segment 6: type=complex, RMSE=0.02431
  Segment 7: type=tube, RMSE=0.01313
  Segment 8: type=plane, RMSE=0.01318
  Segment 9: type=complex, RMSE=0.01500
File valve_0062_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01646
  Segment 1: type=complex, RMSE=0.01669
  Segment 2: type=tube, RMSE=0.01267
  Segment 3: type=complex, RMSE=0.01426
  Segment 4: type=complex, RMSE=0.01908
  Segment 5: type=complex, RMSE=0.02861
  Segment 6: type=complex, RMSE=0.02585
  Segment 7: type=tube, RMSE=0.02948
  Segment 9: type=complex, RMSE=0.01594
File valve_0063_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01827
  Segment 1: type=complex, RMSE=0.02121
  Segment 2: type=tube, RMSE=0.01370
  Segment 3: type=plane, RMSE=0.01708
  Segment 5: type=complex, RMSE=0.01857
  Segment 6: type=complex, RMSE=0.02837
  Segment 7: type=tube, RMSE=0.01923
  Segment 9: type=complex, RMSE=0.01725
File valve_0064_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01829
  Segment 1: type=complex, RMSE=0.02247
  Segment 2: type=tube, RMSE=0.01406
  Segment 3: type=plane, RMSE=0.01620
  Segment 4: type=complex, RMSE=0.02045
  Segment 5: type=complex, RMSE=0.02095
  Segment 6: type=complex, RMSE=0.02657
  Segment 7: type=tube, RMSE=0.02505
  Segment 9: type=complex, RMSE=0.01718
File valve_0065_lidar_classes.ply:
